"P35_001,N,19,11","P35_002,N,19,11","P35_003,C,254","P35_004,C,254","P35_005,C,254","P35_006,C,254","P35_007,C,254","P35_008,C,254","P35_009,C,254","P35_010,C,254","P35_011,N,19,11","P35_012,N,19,11","P35_013,N,19,11","P35_014,N,19,11","P35_015,N,19,11","P35_016,N,19,11","P35_017,N,19,11","P35_018,N,19,11","P35_019,N,19,11","P35_020,N,19,11","P35_021,N,19,11","P35_022,N,19,11","P35_023,N,19,11","P35_024,N,19,11","P35_025,N,19,11","P35_026,N,19,11","P35_027,N,19,11","P35_028,N,19,11"
43.2466006,141.8045499,北海道,三笠市,01222,三笠,https://www.michi-no-eki.jp/stations/view/1,http://www.hokkaido-michinoeki.jp/michinoeki/172/,http://www.city.mikasa.hokkaido.jp/hotnews/detail/00000036.html,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
43.5255178,142.1888941,北海道,芦別市,01216,スタープラザ 芦別,https://www.michi-no-eki.jp/stations/view/2,http://www.hokkaido-michinoeki.jp/michinoeki/202/,https://go-to-ashibetsu.com/media/2017/03/16/26,,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1
43.1697013,142.5727983,北海道,空知郡南富良野町,01462,南ふらの,https://www.michi-no-eki.jp/stations/view/3,http://www.hokkaido-michinoeki.jp/michinoeki/222/,http://www.town.minamifurano.hokkaido.jp/kousya/mitieki/M.F_mitieki.html,,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
42.9927351,144.1981267,北海道,白糠郡白糠町,01668,しらぬか恋問,https://www.michi-no-eki.jp/stations/view/4,http://www.hokkaido-michinoeki.jp/michinoeki/263/,http://koitoi.com/,,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1
44.5588576,142.3200331,北海道,中川郡美深町,01469,びふか,https://www.michi-no-eki.jp/stations/view/5,http://www.hokkaido-michinoeki.jp/michinoeki/292/,http://www.bifuka-kankou.com/michinoeki.php,,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1
41.8943424,140.1392891,北海道,檜山郡江差町,01361,江差,https://www.michi-no-eki.jp/stations/view/6,http://www.hokkaido-michinoeki.jp/michinoeki/321/,http://www.hokkaido-esashi.jp/modules/sightseeing/content0023.html,,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1
42.8551768,141.0965891,北海道,虻田郡喜茂別町,01398,望羊中山,https://www.michi-no-eki.jp/stations/view/7,http://www.hokkaido-michinoeki.jp/michinoeki/364/,http://ageimo.com/,,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1
44.7141204,141.7936472,北海道,天塩郡遠別町,01486,富士見,https://www.michi-no-eki.jp/stations/view/8,http://www.hokkaido-michinoeki.jp/michinoeki/389/,http://www.tongarikan.com/,,2,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,1,1
42.5588618,143.2991945,北海道,中川郡幕別町,01643,忠類,https://www.michi-no-eki.jp/stations/view/9,http://www.hokkaido-michinoeki.jp/michinoeki/407/,,,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1
43.2522652,143.4806105,北海道,足寄郡足寄町,01647,足寄湖,https://www.michi-no-eki.jp/stations/view/10,http://www.hokkaido-michinoeki.jp/michinoeki/426/,,,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
43.4923914,144.4477187,北海道,川上郡弟子屈町,01665,摩周温泉,https://www.michi-no-eki.jp/stations/view/11,http://www.hokkaido-michinoeki.jp/michinoeki/440/,http://www.masyuko.or.jp/michinoeki/index.html,,2,1,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1
44.729078,142.257872,北海道,中川郡音威子府村,01470,おといねっぷ,https://www.michi-no-eki.jp/stations/view/12,http://www.hokkaido-michinoeki.jp/michinoeki/458/,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
44.1851816,143.5956986,北海道,紋別郡湧別町,01559,かみゆうべつ温泉チューリップの湯,https://www.michi-no-eki.jp/stations/view/13,http://www.hokkaido-michinoeki.jp/michinoeki/472/,http://www.town.yubetsu.lg.jp/50shisetsu/6nou-kankou/spa-kamiyu.html,,2,1,1,1,2,1,2,2,2,1,2,2,1,2,2,1,1,1
42.9834347,140.5167801,北海道,岩内郡岩内町,01402,いわない,https://www.michi-no-eki.jp/stations/view/14,http://www.hokkaido-michinoeki.jp/michinoeki/499/,http://www.iwanai-kanko.org/,,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1
